"Time","LSE-01","LSE-02","LSE-03","LSE-04","LSE-05","LSE-06","LSE-07","LSE-08","LSE-09","LSE-10","LSE-11","LSE-12","LSE-13","LSE-14","LSE-15","LSE-16","LSE-17","LSE-18","LSE-19","LSE-20","LSE-21","LSE-22","LSE-23","LSE-24","LSE-25","LSE-26","LSE-27","LSE-28","LSE-29","LSE-30"
2022-05-25 12:42:32,,,,,,,,,10.2,,,,,,,,,,,,,,,,,,,,,
2022-05-25 12:42:56,,,,,,,,,,,,8.80,,,,,,,,,,,,,,,,,,
2022-05-25 12:43:01,,,,,,11.3,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-25 12:43:13,,,,,,,,,,,,,,,,,,,10.1,,,,,,,,,,,
2022-05-25 12:44:59,,,,10.3,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-25 12:45:37,,,,,,,,,,,,,,,10.6,,,,,,,,,,,,,,,
2022-05-25 12:47:17,,,,,,,11.3,,,,,,,,,,,,,,,,,,,,,,,
2022-05-25 12:47:27,10.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-25 12:47:50,,,,,,,,,,,,,,,,9.16,,,,,,,,,,,,,,
2022-05-25 12:47:57,,,,,,,,10.1,,,,,,,,,,,,,,,,,,,,,,
2022-05-25 12:48:10,,,,,,,,,,,,,10.9,,,,,,,,,,,,,,,,,
2022-05-25 12:49:03,,,,,,,,,,,,,,,,,,,,10.5,,,,,,,,,,
2022-05-25 12:49:10,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,

